(.venv) .:AA:. python3 releases/rats/super_rats.py
initial population weights = [262, 323, 316, 219, 459, 387, 491, 315, 265, 554, 503, 511, 308, 281, 392, 378, 372, 311, 323, 308]
Generation 192 fitness = 0.0788
Generation 193 fitness = 0.0784
Generation 194 fitness = 0.0788
Generation 195 fitness = 0.0799
Generation 196 fitness = 0.0804
Generation 197 fitness = 0.0812
Generation 198 fitness = 0.0817
Generation 199 fitness = 0.0819
Generation 200 fitness = 0.0817
Generation 201 fitness = 0.0822
Generation 202 fitness = 0.0822
Generation 203 fitness = 0.0822
Generation 204 fitness = 0.0824
Generation 205 fitness = 0.0827
Generation 206 fitness = 0.0844
Generation 207 fitness = 0.0859
Generation 208 fitness = 0.0877
Generation 209 fitness = 0.0887
Generation 210 fitness = 0.0892
Generation 211 fitness = 0.0894
Generation 212 fitness = 0.0896
Generation 213 fitness = 0.0892
Generation 214 fitness = 0.0907
Generation 215 fitness = 0.0916
Generation 216 fitness = 0.0922
Generation 217 fitness = 0.0927
Generation 218 fitness = 0.0930
Generation 219 fitness = 0.0934
Generation 220 fitness = 0.0962
Generation 221 fitness = 0.0992
Generation 222 fitness = 0.1015
Generation 223 fitness = 0.1029
Generation 224 fitness = 0.1043
Generation 225 fitness = 0.1061
Generation 226 fitness = 0.1076
Generation 227 fitness = 0.1086
Generation 228 fitness = 0.1085
Generation 229 fitness = 0.1102
Generation 230 fitness = 0.1128
Generation 231 fitness = 0.1163
Generation 232 fitness = 0.1192
Generation 233 fitness = 0.1224
Generation 234 fitness = 0.1238
Generation 235 fitness = 0.1247
Generation 236 fitness = 0.1248
Generation 237 fitness = 0.1265
Generation 238 fitness = 0.1308
Generation 239 fitness = 0.1356
Generation 240 fitness = 0.1401
Generation 241 fitness = 0.1427
Generation 242 fitness = 0.1453
Generation 243 fitness = 0.1463
Generation 244 fitness = 0.1478
Generation 245 fitness = 0.1495
Generation 246 fitness = 0.1549
Generation 247 fitness = 0.1604
Generation 248 fitness = 0.1655
Generation 249 fitness = 0.1701
Generation 250 fitness = 0.1735
Generation 251 fitness = 0.1783
Generation 252 fitness = 0.1839
Generation 253 fitness = 0.1897
Generation 254 fitness = 0.1946
Generation 255 fitness = 0.1983
Generation 256 fitness = 0.2009
Generation 257 fitness = 0.2035
Generation 258 fitness = 0.2098
Generation 259 fitness = 0.2169
Generation 260 fitness = 0.2223
Generation 261 fitness = 0.2268
Generation 262 fitness = 0.2309
Generation 263 fitness = 0.2335
Generation 264 fitness = 0.2369
Generation 265 fitness = 0.2405
Generation 266 fitness = 0.2437
Generation 267 fitness = 0.2484
Generation 268 fitness = 0.2513
Generation 269 fitness = 0.2529
Generation 270 fitness = 0.2541
Generation 271 fitness = 0.2546
Generation 272 fitness = 0.2553
Generation 273 fitness = 0.2559
Generation 274 fitness = 0.2560
Generation 275 fitness = 0.2564
Generation 276 fitness = 0.2565
Generation 277 fitness = 0.2567
Generation 278 fitness = 0.2568
Generation 279 fitness = 0.2569
Generation 280 fitness = 0.2569
Generation 281 fitness = 0.2564
Generation 282 fitness = 0.2569
Generation 283 fitness = 0.2560
Generation 284 fitness = 0.2570
Generation 285 fitness = 0.2572
Generation 286 fitness = 0.2569
Generation 287 fitness = 0.2577
Generation 288 fitness = 0.2579
Generation 289 fitness = 0.2580
Generation 290 fitness = 0.2575
Generation 291 fitness = 0.2591
Generation 292 fitness = 0.2617
Generation 293 fitness = 0.2671
Generation 294 fitness = 0.2729
Generation 295 fitness = 0.2747
Generation 296 fitness = 0.2784
Generation 297 fitness = 0.2823
Generation 298 fitness = 0.2908
Generation 299 fitness = 0.2987
Generation 300 fitness = 0.3049
Generation 301 fitness = 0.3090
Generation 302 fitness = 0.3116
Generation 303 fitness = 0.3163
Generation 304 fitness = 0.3190
Generation 305 fitness = 0.3285
Generation 306 fitness = 0.3365
Generation 307 fitness = 0.3436
Generation 308 fitness = 0.3486
Generation 309 fitness = 0.3517
Generation 310 fitness = 0.3535
Generation 311 fitness = 0.3598
Generation 312 fitness = 0.3793
Generation 313 fitness = 0.3929
Generation 314 fitness = 0.4063
Generation 315 fitness = 0.4181
Generation 316 fitness = 0.4351
Generation 317 fitness = 0.4520
Generation 318 fitness = 0.4634
Generation 319 fitness = 0.4702
Generation 320 fitness = 0.4766
Generation 321 fitness = 0.4796
Generation 322 fitness = 0.4874
